X,Y,Z,Type
Timestamp: ,1815278595519655,Fast
1.73051,-0.25128543,0.8777962,Fast
-0.13810396,-0.5464606,-0.0989151,Fast
-0.7095046,2.4279118,-3.0381136,Fast
-1.590497,0.012033939,-0.47374773,Fast
-0.6594126,-3.0728903,1.463727,Fast
-1.597872,-3.312438,1.4106274,Fast
-2.4985104,-4.8998446,2.0751724,Fast
1.1949449,-3.5063794,0.5349755,Fast
0.389807,-2.020857,-3.308807,Fast
-0.61089516,0.49670076,0.33580112,Fast
-1.4252508,-0.54558873,1.0756369,Fast
-0.37566215,-0.1308341,-0.19504642,Fast
-0.081308365,0.30494404,-1.5041866,Fast
-0.65732867,1.5786767,0.45418262,Fast
2.2176237,2.1392612,-1.8683252,Fast
-1.4869503,5.852547,1.4905405,Fast
1.0610104,0.03580171,-1.3585176,Fast
-0.574986,-2.79109,0.8077955,Fast
1.564421,-2.606683,7.178067,Fast
2.8761055,-3.6220536,5.979622,Fast
2.713929,-5.2817163,-1.7289643,Fast
0.9264977,-2.0332453,-3.0895782,Fast
-0.048397064,1.2700019,-2.2990417,Fast
-1.5542789,0.09336805,-0.18067598,Fast
-0.31637144,-0.084308624,1.0421524,Fast
0.9213958,0.63869953,0.46038198,Fast
-3.5564048,-0.9032526,-0.2673397,Fast
-1.5930493,-0.76861,-0.92650604,Fast
0.133672,0.89801073,0.061140537,Fast
1.5957379,0.6141882,-0.5915327,Fast
-0.34765673,1.4953699,0.1382513,Fast
1.2072544,2.7858553,-0.15433168,Fast
1.0867896,0.75668526,-0.13727236,Fast
0.6707454,1.1986461,-1.8314493,Fast
0.6841674,0.5004883,1.6539228,Fast
-5.2512655,-2.2260294,0.79527235,Fast
0.83763885,-4.367866,-1.1611139,Fast
3.7165246,-7.9242654,-2.7085943,Fast
2.6192153,-5.0682755,-4.2079926,Fast
-4.7120667,11.160524,2.434856,Fast
-3.073866,1.1072454,6.96317,Fast
-2.0212135,0.0521307,3.5035887,Fast
1.0044739,-1.200633,-1.0940824,Fast
2.1808515,-2.9766307,0.6831608,Fast
-0.63983846,1.649004,3.3152125,Fast
-0.22360194,-0.047549248,0.32026196,Fast
-0.24958469,-0.11324978,1.4419005,Fast
0.61264575,-0.58198166,1.563729,Fast
2.2573829,1.1843996,-0.8055167,Fast
3.2999322,2.2172585,-4.6983953,Fast
-0.9659524,1.61695,-2.093359,Fast
-0.53526425,-0.6464505,0.015113354,Fast
-2.9432888,-0.205791,1.6664109,Fast
-0.4381953,2.483179,-0.72176456,Fast
0.8720642,-0.7191887,0.22353864,Fast
-0.28516552,0.13782978,1.5777338,Fast
1.806108,-0.033821106,-0.67875934,Fast
1.6002172,3.4534993,-4.98213,Fast
-2.411986,3.53441,-2.9104357,Fast
-2.3087375,-1.1412115,-0.34644318,Fast
-0.40962315,1.9369988,-2.0216713,Fast
-0.1742506,0.17601156,0.64408255,Fast
-0.21038723,0.65407276,-0.19806767,Fast
0.6070113,2.606258,-2.2014284,Fast
1.0628681,2.324038,0.1098814,Fast
-1.5061314,2.9679823,1.8826799,Fast
-0.10957408,2.3436117,1.7271805,Fast
-1.435271,1.3456235,2.069283,Fast
0.41879082,-0.557539,0.51806784,Fast
0.6097684,-0.20922041,1.131999,Fast
-0.24059296,0.23868942,0.5863919,Fast
0.61288524,-1.8606968,-1.9305851,Fast
